name,href,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,query
Classic Belgian Waffles,https://www.allrecipes.com/recipe/230713/classic-belgian-waffles/,1.0,1.0,,360.0,19.0,3.0,3.0,3.0,0.0,100.0,1.0,97.0,belgian waffles
Red Velvet Belgian Waffles,https://www.allrecipes.com/recipe/236472/red-velvet-belgian-waffles/,36.0,22.0,158.0,967.0,92.0,2.0,56.0,12.0,17.0,340.0,3.0,309.0,belgian waffles
Hash Brown Waffles,https://www.allrecipes.com/recipe/235546/hash-brown-waffles/,19.0,4.0,186.0,669.0,41.0,5.0,2.0,11.0,45.0,62.0,3.0,1040.0,belgian waffles
Swedish Crisp Waffles (Frasvafflor),https://www.allrecipes.com/recipe/283702/swedish-crisp-waffles-frasvafflor/,18.0,11.0,54.0,377.0,30.0,1.0,4.0,5.0,0.0,97.0,2.0,106.0,belgian waffles
Rich Danish Waffles,https://www.allrecipes.com/recipe/141873/rich-danish-waffles/,8.0,4.0,131.0,607.0,45.0,1.0,18.0,10.0,0.0,162.0,2.0,166.0,belgian waffles
Chicken and Waffles Casserole,https://www.allrecipes.com/chicken-and-waffles-casserole-recipe-8584860,43.0,14.0,320.0,1071.0,40.0,1.0,5.0,30.0,1.0,257.0,3.0,494.0,belgian waffles
Steve's Overnight Waffles,https://www.allrecipes.com/recipe/257863/steves-overnight-waffles/,13.0,7.0,121.0,526.0,58.0,2.0,13.0,13.0,9.0,132.0,4.0,270.0,belgian waffles
Best Vegan Chocolate Oatmeal Waffles,https://www.allrecipes.com/recipe/255343/best-vegan-chocolate-oatmeal-waffles/,13.0,9.0,,293.0,56.0,8.0,20.0,7.0,0.0,154.0,5.0,321.0,belgian waffles
Spiced Chocolate Waffle Cookies,https://www.allrecipes.com/recipe/267570/spiced-chocolate-waffle-cookies/,11.0,6.0,51.0,83.0,13.0,1.0,5.0,2.0,,20.0,1.0,56.0,belgian waffles
Chef John's French Fries (How to Make),https://www.allrecipes.com/recipe/219634/chef-johns-french-fries/,27.0,2.0,0.0,312.0,32.0,3.0,2.0,4.0,12.0,27.0,2.0,822.0,french fries
Air Fryer French Fries,https://www.allrecipes.com/recipe/278581/air-fryer-french-fries/,2.0,0.0,,247.0,20.0,3.0,1.0,2.0,22.0,14.0,1.0,479.0,french fries
Homemade Crispy Seasoned French Fries,https://www.allrecipes.com/recipe/50223/homemade-crispy-seasoned-french-fries/,3.0,0.0,,751.0,38.0,3.0,1.0,4.0,10.0,15.0,1.0,444.0,french fries
Best Baked French Fries,https://www.allrecipes.com/recipe/229310/best-baked-french-fries/,14.0,2.0,,601.0,60.0,7.0,6.0,7.0,63.0,42.0,3.0,1360.0,french fries
Baked French Fries,https://www.allrecipes.com/recipe/20849/baked-french-fries-i/,14.0,2.0,,27.0,55.0,5.0,5.0,5.0,33.0,23.0,1.0,1012.0,french fries
