sex,geo,year,unit,total
F, Constanta,1997,NR,256
F, Constanta,1998,NR,208
F, Constanta,1999,NR,197
F, Constanta,2000,NR,287
F, Constanta,2001,NR,123
F, Constanta,2002,NR,100
F, Constanta,2003,NR,127
F, Constanta,2004,NR,181
F, Constanta,2005,NR,189
F, Constanta,2006,NR,205
F, Constanta,2007,NR,138
F, Constanta,2008,NR,166
F, Constanta,2009,NR,211
F, Constanta,2010,NR,162
F, Constanta,2011,NR,238
F, Constanta,2012,NR,287
F, Constanta,2013,NR,320
F, Constanta,2014,NR,273
F, Constanta,2015,NR,305
F, Constanta,2016,NR,481
F, Constanta,2017,NR,512
F, Constanta,2018,NR,615
F, Constanta,2019,NR,546
F, Constanta,2020,NR,404
F, Galati,1991,NR,102
F, Galati,1992,NR,74
F, Galati,1993,NR,65
F, Galati,1994,NR,69
F, Galati,1995,NR,202
F, Galati,1996,NR,141
F, Galati,1997,NR,126
F, Galati,1998,NR,116
F, Galati,1999,NR,81
F, Galati,2000,NR,106
F, Galati,2001,NR,79
F, Galati,2002,NR,80
F, Galati,2003,NR,133
F, Galati,2004,NR,207
F, Galati,2005,NR,194
F, Galati,2006,NR,270
F, Galati,2007,NR,145
F, Galati,2008,NR,176
F, Galati,2009,NR,178
F, Galati,2010,NR,146
F, Galati,2011,NR,277
F, Galati,2012,NR,270
F, Galati,2013,NR,283
F, Galati,2014,NR,250
F, Galati,2015,NR,300
F, Galati,2016,NR,471
F, Galati,2017,NR,484
F, Galati,2018,NR,639
F, Galati,2019,NR,633
F, Galati,2020,NR,464
F, Tulcea,1991,NR,64
F, Tulcea,1992,NR,23
F, Tulcea,1993,NR,21
F, Tulcea,1994,NR,25
F, Tulcea,1995,NR,49
F, Tulcea,1996,NR,37
F, Tulcea,1997,NR,39
F, Tulcea,1998,NR,42
F, Tulcea,1999,NR,29
F, Tulcea,2000,NR,37
F, Tulcea,2001,NR,24
F, Tulcea,2002,NR,21
F, Tulcea,2003,NR,25
F, Tulcea,2004,NR,25
F, Tulcea,2005,NR,34
F, Tulcea,2006,NR,28
F, Tulcea,2007,NR,37
F, Tulcea,2008,NR,43
F, Tulcea,2009,NR,38
F, Tulcea,2010,NR,35
F, Tulcea,2011,NR,61
F, Tulcea,2012,NR,81
F, Tulcea,2013,NR,98
F, Tulcea,2014,NR,75
F, Tulcea,2015,NR,101
F, Tulcea,2016,NR,152
F, Tulcea,2017,NR,166
F, Tulcea,2018,NR,158
F, Tulcea,2019,NR,168
F, Tulcea,2020,NR,145
F, Vrancea,1991,NR,71
F, Vrancea,1992,NR,19
F, Vrancea,1993,NR,20
F, Vrancea,1994,NR,28
F, Vrancea,1995,NR,48
F, Vrancea,1996,NR,58
F, Vrancea,1997,NR,72
F, Vrancea,1998,NR,60
F, Vrancea,1999,NR,60
F, Vrancea,2000,NR,108
F, Vrancea,2001,NR,80
F, Vrancea,2002,NR,72
F, Vrancea,2003,NR,111
F, Vrancea,2004,NR,119
F, Vrancea,2005,NR,164
F, Vrancea,2006,NR,187
F, Vrancea,2007,NR,123
F, Vrancea,2008,NR,86
F, Vrancea,2009,NR,82
F, Vrancea,2010,NR,64
F, Vrancea,2011,NR,107
F, Vrancea,2012,NR,98
F, Vrancea,2013,NR,92
F, Vrancea,2014,NR,107
F, Vrancea,2015,NR,117
F, Vrancea,2016,NR,194
F, Vrancea,2017,NR,184
F, Vrancea,2018,NR,228
F, Vrancea,2019,NR,217
F, Vrancea,2020,NR,142
F, MACROREGIUNEA TREI,1991,NR,3286
F, MACROREGIUNEA TREI,1992,NR,2432
F, MACROREGIUNEA TREI,1993,NR,1595
F, MACROREGIUNEA TREI,1994,NR,2411
F, MACROREGIUNEA TREI,1995,NR,3974
F, MACROREGIUNEA TREI,1996,NR,3495
F, MACROREGIUNEA TREI,1997,NR,2710
F, MACROREGIUNEA TREI,1998,NR,3613
F, MACROREGIUNEA TREI,1999,NR,2471
F, MACROREGIUNEA TREI,2000,NR,2165
F, MACROREGIUNEA TREI,2001,NR,1272
F, MACROREGIUNEA TREI,2002,NR,1006
F, MACROREGIUNEA TREI,2003,NR,1355
F, MACROREGIUNEA TREI,2004,NR,1676
F, MACROREGIUNEA TREI,2005,NR,1383
F, MACROREGIUNEA TREI,2006,NR,1903
F, MACROREGIUNEA TREI,2007,NR,1355
F, MACROREGIUNEA TREI,2008,NR,1357
F, MACROREGIUNEA TREI,2009,NR,1597
F, MACROREGIUNEA TREI,2010,NR,1271
F, MACROREGIUNEA TREI,2011,NR,3642
F, MACROREGIUNEA TREI,2012,NR,3675
F, MACROREGIUNEA TREI,2013,NR,4127
F, MACROREGIUNEA TREI,2014,NR,1725
F, MACROREGIUNEA TREI,2015,NR,2413
F, MACROREGIUNEA TREI,2016,NR,3491
F, MACROREGIUNEA TREI,2017,NR,3540
F, MACROREGIUNEA TREI,2018,NR,4157
F, MACROREGIUNEA TREI,2019,NR,3908
F, MACROREGIUNEA TREI,2020,NR,3073
F, Regiunea SUD-MUNTENIA,1991,NR,1104
F, Regiunea SUD-MUNTENIA,1992,NR,294
F, Regiunea SUD-MUNTENIA,1993,NR,223
F, Regiunea SUD-MUNTENIA,1994,NR,306
F, Regiunea SUD-MUNTENIA,1995,NR,590
F, Regiunea SUD-MUNTENIA,1996,NR,591
F, Regiunea SUD-MUNTENIA,1997,NR,525
F, Regiunea SUD-MUNTENIA,1998,NR,404
F, Regiunea SUD-MUNTENIA,1999,NR,371
F, Regiunea SUD-MUNTENIA,2000,NR,535
F, Regiunea SUD-MUNTENIA,2001,NR,317
F, Regiunea SUD-MUNTENIA,2002,NR,191
F, Regiunea SUD-MUNTENIA,2003,NR,304
F, Regiunea SUD-MUNTENIA,2004,NR,372
F, Regiunea SUD-MUNTENIA,2005,NR,285
F, Regiunea SUD-MUNTENIA,2006,NR,424
F, Regiunea SUD-MUNTENIA,2007,NR,340
F, Regiunea SUD-MUNTENIA,2008,NR,376
F, Regiunea SUD-MUNTENIA,2009,NR,432
F, Regiunea SUD-MUNTENIA,2010,NR,389
F, Regiunea SUD-MUNTENIA,2011,NR,666
F, Regiunea SUD-MUNTENIA,2012,NR,809
F, Regiunea SUD-MUNTENIA,2013,NR,907
F, Regiunea SUD-MUNTENIA,2014,NR,693
F, Regiunea SUD-MUNTENIA,2015,NR,892
F, Regiunea SUD-MUNTENIA,2016,NR,1344
F, Regiunea SUD-MUNTENIA,2017,NR,1306
F, Regiunea SUD-MUNTENIA,2018,NR,1595
F, Regiunea SUD-MUNTENIA,2019,NR,1496
F, Regiunea SUD-MUNTENIA,2020,NR,1132
F, Arges,1991,NR,148
F, Arges,1992,NR,67
F, Arges,1993,NR,49
F, Arges,1994,NR,82
F, Arges,1995,NR,181
F, Arges,1996,NR,140
F, Arges,1997,NR,147
F, Arges,1998,NR,113
F, Arges,1999,NR,99
F, Arges,2000,NR,119
F, Arges,2001,NR,71
F, Arges,2002,NR,48
F, Arges,2003,NR,53
F, Arges,2004,NR,67
F, Arges,2005,NR,53
F, Arges,2006,NR,72
F, Arges,2007,NR,69
F, Arges,2008,NR,80
F, Arges,2009,NR,107
F, Arges,2010,NR,86
F, Arges,2011,NR,115
F, Arges,2012,NR,118
F, Arges,2013,NR,121
F, Arges,2014,NR,96
F, Arges,2015,NR,146
F, Arges,2016,NR,218
F, Arges,2017,NR,226
F, Arges,2018,NR,250
F, Arges,2019,NR,254
F, Arges,2020,NR,199
F, Calarasi,1991,NR,180
F, Calarasi,1992,NR,18
F, Calarasi,1993,NR,11
F, Calarasi,1994,NR,18
F, Calarasi,1995,NR,44
F, Calarasi,1996,NR,45
F, Calarasi,1997,NR,45
F, Calarasi,1998,NR,37
F, Calarasi,1999,NR,19
F, Calarasi,2000,NR,44
F, Calarasi,2001,NR,18
F, Calarasi,2002,NR,9
F, Calarasi,2003,NR,25
F, Calarasi,2004,NR,15
F, Calarasi,2005,NR,22
F, Calarasi,2006,NR,25
F, Calarasi,2007,NR,20
F, Calarasi,2008,NR,24
F, Calarasi,2009,NR,24
F, Calarasi,2010,NR,28
F, Calarasi,2011,NR,77
F, Calarasi,2012,NR,71
F, Calarasi,2013,NR,84
F, Calarasi,2014,NR,82
F, Calarasi,2015,NR,84
F, Calarasi,2016,NR,125
F, Calarasi,2017,NR,147
F, Calarasi,2018,NR,140
F, Calarasi,2019,NR,183
F, Calarasi,2020,NR,118
F, Dambovita,1991,NR,247
F, Dambovita,1992,NR,37
F, Dambovita,1993,NR,30
F, Dambovita,1994,NR,34
F, Dambovita,1995,NR,45
F, Dambovita,1996,NR,61
F, Dambovita,1997,NR,69
F, Dambovita,1998,NR,40
F, Dambovita,1999,NR,48
F, Dambovita,2000,NR,80
F, Dambovita,2001,NR,51
F, Dambovita,2002,NR,24
F, Dambovita,2003,NR,46
F, Dambovita,2004,NR,74
F, Dambovita,2005,NR,50
F, Dambovita,2006,NR,77
F, Dambovita,2007,NR,70
F, Dambovita,2008,NR,74
F, Dambovita,2009,NR,81
F, Dambovita,2010,NR,75
F, Dambovita,2011,NR,119
F, Dambovita,2012,NR,123
F, Dambovita,2013,NR,148
F, Dambovita,2014,NR,113
F, Dambovita,2015,NR,159
F, Dambovita,2016,NR,226
F, Dambovita,2017,NR,217
F, Dambovita,2018,NR,290
F, Dambovita,2019,NR,254
F, Dambovita,2020,NR,197
F, Giurgiu,1991,NR,164
F, Giurgiu,1992,NR,7
F, Giurgiu,1993,NR,12
F, Giurgiu,1994,NR,1
F, Giurgiu,1995,NR,27
F, Giurgiu,1996,NR,22
F, Giurgiu,1997,NR,18
F, Giurgiu,1998,NR,11
F, Giurgiu,1999,NR,29
F, Giurgiu,2000,NR,24
F, Giurgiu,2001,NR,8
F, Giurgiu,2002,NR,12
F, Giurgiu,2003,NR,14
F, Giurgiu,2004,NR,6
F, Giurgiu,2005,NR,13
F, Giurgiu,2006,NR,17
F, Giurgiu,2007,NR,15
F, Giurgiu,2008,NR,13
F, Giurgiu,2009,NR,16
F, Giurgiu,2010,NR,19
F, Giurgiu,2011,NR,37
F, Giurgiu,2012,NR,47
F, Giurgiu,2013,NR,66
F, Giurgiu,2014,NR,51
F, Giurgiu,2015,NR,63
F, Giurgiu,2016,NR,75
F, Giurgiu,2017,NR,75
F, Giurgiu,2018,NR,114
F, Giurgiu,2019,NR,99
F, Giurgiu,2020,NR,80
F, Ialomita,1991,NR,66
F, Ialomita,1992,NR,18
F, Ialomita,1993,NR,12
F, Ialomita,1994,NR,20
F, Ialomita,1995,NR,24
F, Ialomita,1996,NR,33
F, Ialomita,1997,NR,30
F, Ialomita,1998,NR,24
F, Ialomita,1999,NR,29
F, Ialomita,2000,NR,40
F, Ialomita,2001,NR,23
F, Ialomita,2002,NR,10
F, Ialomita,2003,NR,21
F, Ialomita,2004,NR,21
F, Ialomita,2005,NR,20
F, Ialomita,2006,NR,20
F, Ialomita,2007,NR,17
F, Ialomita,2008,NR,20
F, Ialomita,2009,NR,23
F, Ialomita,2010,NR,26
F, Ialomita,2011,NR,42
F, Ialomita,2012,NR,43
F, Ialomita,2013,NR,96
F, Ialomita,2014,NR,58
F, Ialomita,2015,NR,71
F, Ialomita,2016,NR,140
F, Ialomita,2017,NR,113
F, Ialomita,2018,NR,138
F, Ialomita,2019,NR,110
F, Ialomita,2020,NR,97
F, Prahova,1991,NR,209
F, Prahova,1992,NR,137
F, Prahova,1993,NR,95
F, Prahova,1994,NR,138
F, Prahova,1995,NR,244
F, Prahova,1996,NR,242
F, Prahova,1997,NR,183
F, Prahova,1998,NR,153
F, Prahova,1999,NR,109
F, Prahova,2000,NR,176
F, Prahova,2001,NR,121
F, Prahova,2002,NR,80
F, Prahova,2003,NR,128
F, Prahova,2004,NR,157
F, Prahova,2005,NR,99
F, Prahova,2006,NR,173
F, Prahova,2007,NR,124
F, Prahova,2008,NR,125
F, Prahova,2009,NR,148
F, Prahova,2010,NR,112
F, Prahova,2011,NR,162
F, Prahova,2012,NR,242
F, Prahova,2013,NR,232
F, Prahova,2014,NR,174
F, Prahova,2015,NR,225
F, Prahova,2016,NR,357
F, Prahova,2017,NR,324
F, Prahova,2018,NR,437
F, Prahova,2019,NR,374
F, Prahova,2020,NR,270
F, Teleorman,1991,NR,90
F, Teleorman,1992,NR,10
F, Teleorman,1993,NR,14
F, Teleorman,1994,NR,13
F, Teleorman,1995,NR,25
F, Teleorman,1996,NR,48
F, Teleorman,1997,NR,33
F, Teleorman,1998,NR,26
F, Teleorman,1999,NR,38
F, Teleorman,2000,NR,52
F, Teleorman,2001,NR,25
F, Teleorman,2002,NR,8
F, Teleorman,2003,NR,17
F, Teleorman,2004,NR,32
F, Teleorman,2005,NR,28
F, Teleorman,2006,NR,40
F, Teleorman,2007,NR,25
F, Teleorman,2008,NR,40
F, Teleorman,2009,NR,33
F, Teleorman,2010,NR,43
F, Teleorman,2011,NR,114
F, Teleorman,2012,NR,165
F, Teleorman,2013,NR,160
F, Teleorman,2014,NR,119
F, Teleorman,2015,NR,144
F, Teleorman,2016,NR,203
F, Teleorman,2017,NR,204
F, Teleorman,2018,NR,226
F, Teleorman,2019,NR,222
F, Teleorman,2020,NR,171
F, Regiunea BUCURESTI - ILFOV,1991,NR,2182
F, Regiunea BUCURESTI - ILFOV,1992,NR,2138
F, Regiunea BUCURESTI - ILFOV,1993,NR,1372
F, Regiunea BUCURESTI - ILFOV,1994,NR,2105
F, Regiunea BUCURESTI - ILFOV,1995,NR,3384
F, Regiunea BUCURESTI - ILFOV,1996,NR,2904
F, Regiunea BUCURESTI - ILFOV,1997,NR,2185
F, Regiunea BUCURESTI - ILFOV,1998,NR,3209
F, Regiunea BUCURESTI - ILFOV,1999,NR,2100
F, Regiunea BUCURESTI - ILFOV,2000,NR,1630
F, Regiunea BUCURESTI - ILFOV,2001,NR,955
F, Regiunea BUCURESTI - ILFOV,2002,NR,815
F, Regiunea BUCURESTI - ILFOV,2003,NR,1051
F, Regiunea BUCURESTI - ILFOV,2004,NR,1304
F, Regiunea BUCURESTI - ILFOV,2005,NR,1098
F, Regiunea BUCURESTI - ILFOV,2006,NR,1479
F, Regiunea BUCURESTI - ILFOV,2007,NR,1015
F, Regiunea BUCURESTI - ILFOV,2008,NR,981
F, Regiunea BUCURESTI - ILFOV,2009,NR,1165
F, Regiunea BUCURESTI - ILFOV,2010,NR,882
F, Regiunea BUCURESTI - ILFOV,2011,NR,2976
F, Regiunea BUCURESTI - ILFOV,2012,NR,2866
F, Regiunea BUCURESTI - ILFOV,2013,NR,3220
F, Regiunea BUCURESTI - ILFOV,2014,NR,1032
F, Regiunea BUCURESTI - ILFOV,2015,NR,1521
F, Regiunea BUCURESTI - ILFOV,2016,NR,2147
F, Regiunea BUCURESTI - ILFOV,2017,NR,2234
F, Regiunea BUCURESTI - ILFOV,2018,NR,2562
F, Regiunea BUCURESTI - ILFOV,2019,NR,2412
F, Regiunea BUCURESTI - ILFOV,2020,NR,1941
F, Ilfov,1991,NR,58
F, Ilfov,1992,NR,49
F, Ilfov,1993,NR,27
F, Ilfov,1994,NR,61
F, Ilfov,1995,NR,100
F, Ilfov,1996,NR,76
F, Ilfov,1997,NR,35
F, Ilfov,1998,NR,27
F, Ilfov,1999,NR,18
F, Ilfov,2000,NR,21
F, Ilfov,2001,NR,14
F, Ilfov,2002,NR,17
F, Ilfov,2003,NR,26
F, Ilfov,2004,NR,25
F, Ilfov,2005,NR,11
F, Ilfov,2006,NR,22
F, Ilfov,2007,NR,15
F, Ilfov,2008,NR,30
F, Ilfov,2009,NR,31
F, Ilfov,2010,NR,17
F, Ilfov,2011,NR,41
F, Ilfov,2012,NR,36
F, Ilfov,2013,NR,69
F, Ilfov,2014,NR,77
F, Ilfov,2015,NR,97
F, Ilfov,2016,NR,136
F, Ilfov,2017,NR,162
F, Ilfov,2018,NR,181
F, Ilfov,2019,NR,182
F, Ilfov,2020,NR,151
F, Municipiul Bucuresti,1991,NR,2124
F, Municipiul Bucuresti,1992,NR,2089
F, Municipiul Bucuresti,1993,NR,1345
F, Municipiul Bucuresti,1994,NR,2044
F, Municipiul Bucuresti,1995,NR,3284
F, Municipiul Bucuresti,1996,NR,2828
F, Municipiul Bucuresti,1997,NR,2150
F, Municipiul Bucuresti,1998,NR,3182
F, Municipiul Bucuresti,1999,NR,2082
F, Municipiul Bucuresti,2000,NR,1609
F, Municipiul Bucuresti,2001,NR,941
F, Municipiul Bucuresti,2002,NR,798
F, Municipiul Bucuresti,2003,NR,1025
F, Municipiul Bucuresti,2004,NR,1279
F, Municipiul Bucuresti,2005,NR,1087
F, Municipiul Bucuresti,2006,NR,1457
F, Municipiul Bucuresti,2007,NR,1000
F, Municipiul Bucuresti,2008,NR,951
F, Municipiul Bucuresti,2009,NR,1134
F, Municipiul Bucuresti,2010,NR,865
F, Municipiul Bucuresti,2011,NR,2935
F, Municipiul Bucuresti,2012,NR,2830
F, Municipiul Bucuresti,2013,NR,3151
F, Municipiul Bucuresti,2014,NR,955
F, Municipiul Bucuresti,2015,NR,1424
F, Municipiul Bucuresti,2016,NR,2011
F, Municipiul Bucuresti,2017,NR,2072
F, Municipiul Bucuresti,2018,NR,2381
F, Municipiul Bucuresti,2019,NR,2230
F, Municipiul Bucuresti,2020,NR,1790
F, MACROREGIUNEA PATRU,1991,NR,6216
F, MACROREGIUNEA PATRU,1992,NR,3704
F, MACROREGIUNEA PATRU,1993,NR,3333
F, MACROREGIUNEA PATRU,1994,NR,2732
F, MACROREGIUNEA PATRU,1995,NR,3575
F, MACROREGIUNEA PATRU,1996,NR,2844
F, MACROREGIUNEA PATRU,1997,NR,2661
F, MACROREGIUNEA PATRU,1998,NR,1620
F, MACROREGIUNEA PATRU,1999,NR,1211
F, MACROREGIUNEA PATRU,2000,NR,1560
F, MACROREGIUNEA PATRU,2001,NR,868
F, MACROREGIUNEA PATRU,2002,NR,803
F, MACROREGIUNEA PATRU,2003,NR,1138
F, MACROREGIUNEA PATRU,2004,NR,1480
F, MACROREGIUNEA PATRU,2005,NR,1245
F, MACROREGIUNEA PATRU,2006,NR,1613
F, MACROREGIUNEA PATRU,2007,NR,1069
F, MACROREGIUNEA PATRU,2008,NR,1122
F, MACROREGIUNEA PATRU,2009,NR,1317
F, MACROREGIUNEA PATRU,2010,NR,1010
F, MACROREGIUNEA PATRU,2011,NR,1652
F, MACROREGIUNEA PATRU,2012,NR,1648
F, MACROREGIUNEA PATRU,2013,NR,1623
F, MACROREGIUNEA PATRU,2014,NR,1234
F, MACROREGIUNEA PATRU,2015,NR,1621
F, MACROREGIUNEA PATRU,2016,NR,2438
F, MACROREGIUNEA PATRU,2017,NR,2362
F, MACROREGIUNEA PATRU,2018,NR,2648
F, MACROREGIUNEA PATRU,2019,NR,2650
F, MACROREGIUNEA PATRU,2020,NR,1987
F, Regiunea SUD-VEST OLTENIA,1991,NR,592
F, Regiunea SUD-VEST OLTENIA,1992,NR,261
F, Regiunea SUD-VEST OLTENIA,1993,NR,176
F, Regiunea SUD-VEST OLTENIA,1994,NR,198
F, Regiunea SUD-VEST OLTENIA,1995,NR,430
F, Regiunea SUD-VEST OLTENIA,1996,NR,380
F, Regiunea SUD-VEST OLTENIA,1997,NR,415
F, Regiunea SUD-VEST OLTENIA,1998,NR,315
F, Regiunea SUD-VEST OLTENIA,1999,NR,308
F, Regiunea SUD-VEST OLTENIA,2000,NR,402
F, Regiunea SUD-VEST OLTENIA,2001,NR,218
F, Regiunea SUD-VEST OLTENIA,2002,NR,170
F, Regiunea SUD-VEST OLTENIA,2003,NR,276
F, Regiunea SUD-VEST OLTENIA,2004,NR,338
F, Regiunea SUD-VEST OLTENIA,2005,NR,306
F, Regiunea SUD-VEST OLTENIA,2006,NR,391
F, Regiunea SUD-VEST OLTENIA,2007,NR,276
F, Regiunea SUD-VEST OLTENIA,2008,NR,279
F, Regiunea SUD-VEST OLTENIA,2009,NR,410
F, Regiunea SUD-VEST OLTENIA,2010,NR,301
F, Regiunea SUD-VEST OLTENIA,2011,NR,424
F, Regiunea SUD-VEST OLTENIA,2012,NR,435
F, Regiunea SUD-VEST OLTENIA,2013,NR,458
F, Regiunea SUD-VEST OLTENIA,2014,NR,406
F, Regiunea SUD-VEST OLTENIA,2015,NR,501
F, Regiunea SUD-VEST OLTENIA,2016,NR,764
F, Regiunea SUD-VEST OLTENIA,2017,NR,699
F, Regiunea SUD-VEST OLTENIA,2018,NR,829
F, Regiunea SUD-VEST OLTENIA,2019,NR,828
F, Regiunea SUD-VEST OLTENIA,2020,NR,597
F, Dolj,1991,NR,241
F, Dolj,1992,NR,98
F, Dolj,1993,NR,72
F, Dolj,1994,NR,77
F, Dolj,1995,NR,234
F, Dolj,1996,NR,178
F, Dolj,1997,NR,161
F, Dolj,1998,NR,126
F, Dolj,1999,NR,133
F, Dolj,2000,NR,149
F, Dolj,2001,NR,99
F, Dolj,2002,NR,72
F, Dolj,2003,NR,118
F, Dolj,2004,NR,184
F, Dolj,2005,NR,163
F, Dolj,2006,NR,174
F, Dolj,2007,NR,121
F, Dolj,2008,NR,101
F, Dolj,2009,NR,184
F, Dolj,2010,NR,127
F, Dolj,2011,NR,156
F, Dolj,2012,NR,152
F, Dolj,2013,NR,162
F, Dolj,2014,NR,141
F, Dolj,2015,NR,172
F, Dolj,2016,NR,279
F, Dolj,2017,NR,258
F, Dolj,2018,NR,298
F, Dolj,2019,NR,289
F, Dolj,2020,NR,215
F, Gorj,1991,NR,59
F, Gorj,1992,NR,26
F, Gorj,1993,NR,25
F, Gorj,1994,NR,14
F, Gorj,1995,NR,32
F, Gorj,1996,NR,45
F, Gorj,1997,NR,30
F, Gorj,1998,NR,24
F, Gorj,1999,NR,26
F, Gorj,2000,NR,31
F, Gorj,2001,NR,12
F, Gorj,2002,NR,18
F, Gorj,2003,NR,26
F, Gorj,2004,NR,22
F, Gorj,2005,NR,28
F, Gorj,2006,NR,27
F, Gorj,2007,NR,26
F, Gorj,2008,NR,35
F, Gorj,2009,NR,42
F, Gorj,2010,NR,35
F, Gorj,2011,NR,55
F, Gorj,2012,NR,39
F, Gorj,2013,NR,57
F, Gorj,2014,NR,45
F, Gorj,2015,NR,69
F, Gorj,2016,NR,87
F, Gorj,2017,NR,86
F, Gorj,2018,NR,95
F, Gorj,2019,NR,108
F, Gorj,2020,NR,73
F, Mehedinti,1991,NR,159
F, Mehedinti,1992,NR,68
F, Mehedinti,1993,NR,41
F, Mehedinti,1994,NR,60
F, Mehedinti,1995,NR,52
F, Mehedinti,1996,NR,58
F, Mehedinti,1997,NR,83
F, Mehedinti,1998,NR,51
F, Mehedinti,1999,NR,43
F, Mehedinti,2000,NR,60
F, Mehedinti,2001,NR,28
F, Mehedinti,2002,NR,19
F, Mehedinti,2003,NR,26
F, Mehedinti,2004,NR,32
F, Mehedinti,2005,NR,33
F, Mehedinti,2006,NR,57
F, Mehedinti,2007,NR,37
F, Mehedinti,2008,NR,41
F, Mehedinti,2009,NR,60
F, Mehedinti,2010,NR,36
F, Mehedinti,2011,NR,63
F, Mehedinti,2012,NR,46
F, Mehedinti,2013,NR,68
F, Mehedinti,2014,NR,60
F, Mehedinti,2015,NR,61
F, Mehedinti,2016,NR,105
F, Mehedinti,2017,NR,84
F, Mehedinti,2018,NR,99
F, Mehedinti,2019,NR,119
F, Mehedinti,2020,NR,79
F, Olt,1991,NR,44
F, Olt,1992,NR,31
F, Olt,1993,NR,14
F, Olt,1994,NR,21
F, Olt,1995,NR,41
F, Olt,1996,NR,31
F, Olt,1997,NR,67
F, Olt,1998,NR,50
F, Olt,1999,NR,32
F, Olt,2000,NR,55
F, Olt,2001,NR,26
F, Olt,2002,NR,13
F, Olt,2003,NR,28
F, Olt,2004,NR,25
F, Olt,2005,NR,38
F, Olt,2006,NR,54
F, Olt,2007,NR,44
F, Olt,2008,NR,41
F, Olt,2009,NR,52
F, Olt,2010,NR,41
F, Olt,2011,NR,71
F, Olt,2012,NR,106
F, Olt,2013,NR,107
F, Olt,2014,NR,98
F, Olt,2015,NR,120
F, Olt,2016,NR,141
F, Olt,2017,NR,136
F, Olt,2018,NR,191
F, Olt,2019,NR,154
F, Olt,2020,NR,126
F, Valcea,1991,NR,89
F, Valcea,1992,NR,38
F, Valcea,1993,NR,24
F, Valcea,1994,NR,26
F, Valcea,1995,NR,71
F, Valcea,1996,NR,68
F, Valcea,1997,NR,74
F, Valcea,1998,NR,64
F, Valcea,1999,NR,74
F, Valcea,2000,NR,107
F, Valcea,2001,NR,53
F, Valcea,2002,NR,48
F, Valcea,2003,NR,78
F, Valcea,2004,NR,75
F, Valcea,2005,NR,44
F, Valcea,2006,NR,79
F, Valcea,2007,NR,48
F, Valcea,2008,NR,61
F, Valcea,2009,NR,72
F, Valcea,2010,NR,62
F, Valcea,2011,NR,79
F, Valcea,2012,NR,92
F, Valcea,2013,NR,64
F, Valcea,2014,NR,62
F, Valcea,2015,NR,79
F, Valcea,2016,NR,152
F, Valcea,2017,NR,135
F, Valcea,2018,NR,146
F, Valcea,2019,NR,158
F, Valcea,2020,NR,104
F, Regiunea VEST,1991,NR,5624
F, Regiunea VEST,1992,NR,3443
F, Regiunea VEST,1993,NR,3157
F, Regiunea VEST,1994,NR,2534
F, Regiunea VEST,1995,NR,3145
F, Regiunea VEST,1996,NR,2464
F, Regiunea VEST,1997,NR,2246
F, Regiunea VEST,1998,NR,1305
F, Regiunea VEST,1999,NR,903
F, Regiunea VEST,2000,NR,1158
F, Regiunea VEST,2001,NR,650
F, Regiunea VEST,2002,NR,633
F, Regiunea VEST,2003,NR,862
F, Regiunea VEST,2004,NR,1142
F, Regiunea VEST,2005,NR,939
F, Regiunea VEST,2006,NR,1222
F, Regiunea VEST,2007,NR,793
F, Regiunea VEST,2008,NR,843
F, Regiunea VEST,2009,NR,907
F, Regiunea VEST,2010,NR,709
F, Regiunea VEST,2011,NR,1228
F, Regiunea VEST,2012,NR,1213
F, Regiunea VEST,2013,NR,1165
F, Regiunea VEST,2014,NR,828
F, Regiunea VEST,2015,NR,1120
F, Regiunea VEST,2016,NR,1674
F, Regiunea VEST,2017,NR,1663
F, Regiunea VEST,2018,NR,1819
F, Regiunea VEST,2019,NR,1822
F, Regiunea VEST,2020,NR,1390
F, Arad,1991,NR,1520
F, Arad,1992,NR,701
F, Arad,1993,NR,1208
F, Arad,1994,NR,457
F, Arad,1995,NR,609
F, Arad,1996,NR,445
F, Arad,1997,NR,502
F, Arad,1998,NR,253
F, Arad,1999,NR,183
F, Arad,2000,NR,240
F, Arad,2001,NR,147
F, Arad,2002,NR,137
F, Arad,2003,NR,151
F, Arad,2004,NR,228
F, Arad,2005,NR,179
F, Arad,2006,NR,206
F, Arad,2007,NR,130
F, Arad,2008,NR,145
F, Arad,2009,NR,160
F, Arad,2010,NR,121
F, Arad,2011,NR,217
F, Arad,2012,NR,247
F, Arad,2013,NR,207
F, Arad,2014,NR,174
F, Arad,2015,NR,228
F, Arad,2016,NR,334
F, Arad,2017,NR,311
F, Arad,2018,NR,327
F, Arad,2019,NR,330
F, Arad,2020,NR,287
F, Caras-Severin,1991,NR,963
F, Caras-Severin,1992,NR,534
F, Caras-Severin,1993,NR,415
F, Caras-Severin,1994,NR,355
F, Caras-Severin,1995,NR,562
F, Caras-Severin,1996,NR,438
F, Caras-Severin,1997,NR,348
F, Caras-Severin,1998,NR,221
F, Caras-Severin,1999,NR,140
F, Caras-Severin,2000,NR,222
F, Caras-Severin,2001,NR,87
F, Caras-Severin,2002,NR,105
F, Caras-Severin,2003,NR,129
F, Caras-Severin,2004,NR,151
F, Caras-Severin,2005,NR,148
F, Caras-Severin,2006,NR,235
F, Caras-Severin,2007,NR,149
F, Caras-Severin,2008,NR,143
F, Caras-Severin,2009,NR,161
F, Caras-Severin,2010,NR,97
F, Caras-Severin,2011,NR,183
